ID,FEMALE,MALE,ETHBLACK,ETHHISP,ETHWHITE,AGE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCDO,SINGLE,MARRIED,DIVORCED,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,ASVAB01,ASVAB02,ASVAB03,ASVAB04,ASVAB05,ASVAB06,ASVABC,HEIGHT,WEIGHT85,WEIGHT02,SM,SF,SIBLINGS,LIBRARY,POV78,EXP,EARNINGS,HOURS,TENURE,COLLBARG,CATGOV,CATPRI,CATSE,URBAN,REGNE,REGNC,REGW,REGS
5531,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,58,64,52,56,54,56,60.899853,67,160,200,8,8,11,0,0,22.384615,53.41,45,2.75,0,0,1,0,0,0,0,0,1
2658,0,1,0,1,0,40,12,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,32,39,29,29,27,22,33.637897,67,185,205,5,5,3,0,1,8.9038458,8,40,2.3846154,0,0,1,0,0,0,0,0,1
5365,0,1,0,0,1,38,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,42,40,37,38,42,45,38.817669,69,135,185,11,12,3,1,0,13.25,24,40,5.75,1,0,1,0,1,0,1,0,0
4468,0,1,0,0,1,43,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,66,55,59,53,51,52,57.083179,72,200,250,12,16,2,1,0,18.25,29.5,40,6.1346154,1,0,1,0,1,0,0,1,0
3142,0,1,0,0,1,38,18,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,64,65,61,62,47,34,65.534386,76,185,220,16,20,1,1,0,13.769231,32.049999,54,.82692307,0,1,0,0,1,1,0,0,0
2170,0,1,1,0,0,39,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,62,53,51,59,58,45,55.447464,69,180,215,12,12,2,0,0,11.692307,14.73,40,4.2884617,0,0,1,0,1,0,0,0,1
2344,0,1,0,0,1,40,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,50,32,44,38,33,29,36.364094,65,150,145,12,12,1,1,0,19.48077,13,48,.76923078,0,0,1,0,1,0,0,0,1
4583,0,1,0,0,1,37,12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,56,62,52,44,41,47,56.537941,69,125,140,8,13,10,1,0,15.230769,11.25,40,5.1538463,0,0,1,0,1,0,0,1,0
2517,0,1,0,0,1,39,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,60,59,55,62,58,46,60.627235,72,195,240,12,12,3,1,,14.365385,18.01,40,1.5769231,1,1,0,0,1,0,1,0,0
3563,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,46,57,28,32,47,46,43.99744,70,180,210,10,8,9,1,0,22.038462,11.78,40,.23076923,1,0,1,0,1,0,1,0,0
5419,0,1,0,0,1,41,17,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,64,56,59,58,58,62.808189,73,170,195,12,12,3,1,0,16.384615,27.299999,50,5.4423075,0,0,1,0,1,0,1,0,0
1420,0,1,0,0,1,39,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,52,46,51,53,49,44,49.995071,75,175,190,12,12,2,1,1,18.884615,16,40,.78846157,0,0,1,0,0,0,0,0,1
2291,0,1,0,0,1,37,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,64,66,56,59,62,57,63.89867,74,180,205,17,16,1,1,0,16.076923,29.450001,47,7.3076925,0,0,1,0,0,0,0,0,1
